gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
CBX5	0	0	0	0	1	0	0	0	130.161396914308	0.487440726855381	0.801388783660787	0.762349425391812	0.00758911186139342	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0355949967702065	0.999931669548502
CCDC168	7	23	2	0	3	1.69084281123169	1.27388268504477	1.27388268504477	10.5864112712004	0.127769227326785	0.757671388151755	0.312252622853276	0.0186129905328425	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0357309599886663	0.999931669548502
ZBTB7A	2	0	0	0	1	0	0	0	42.7196379616191	0.103245615337161	0.799079511615843	0.2580931818367	0.0225626667157545	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0357891984714122	0.999931669548502
DHFR2	0	0	0	0	1	0	0	0	132.930788338017	0.506339104820374	0.829490908210598	0.784211337108635	0.00743289026296364	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0358184571402399	0.999931669548502
TCF20	1	2	0	0	2	0.810409016332925	0	0	25.4880042912261	0.791591230218551	0.526158825212719	0.797672567116332	0.00761431967160366	0.876091992401442	0.921932594846965	0.944733707419888	1	0.0370727460676432	0.999931669548502
MBL2	1	1	0	0	1	3.13452780609015	0	0	100.365414488141	0.35475890052082	0.788813766679709	0.626450463616399	0.00980670863629725	0.754057164758681	0.921932594846965	0.944733707419888	1	0.037427995963772	0.999931669548502
ATP8B1	2	0	0	0	1	0	0	0	19.9608532009163	0.0562923744089864	0.47832436241995	0.132787209418949	0.0463947535811386	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0375156253201213	0.999931669548502
HSD17B3	1	1	2	0	0	2.38925272995778	35.6444581319561	35.6444581319561	0	0.466222315982386	0.00167659411558263	0.00623218873330933	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.037879415667446	0.999931669548502
GALR3	2	0	0	0	1	0	0	0	67.7262553050059	0.202267973379664	0.818141611205279	0.43315665801124	0.0144237024300658	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0379582784438022	0.999931669548502
SHCBP1L	0	3	2	0	0	3.53774006914445	25.1265744070281	25.1265744070281	0	0.106185317768815	0.00364926022593959	0.00626400664770521	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0380409068337011	0.999931669548502
MARCHF2	0	1	0	0	1	3.08319127813288	0	0	101.178089909098	0.36400757715203	0.828767493478162	0.645225526282715	0.00972916792891653	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0381093812304847	0.999931669548502
OVCA2	0	0	0	0	1	0	0	0	109.609597401523	0.425922797737397	0.824240418215246	0.71161269790055	0.00899155541495235	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0387217745800269	0.999931669548502
OR2AK2	0	4	0	0	0	11.0665303116166	0	0	0	0.00153783087884052	0.857909761066538	0.0064576598004138	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0390203337042526	0.999931669548502
ACVR1B	0	2	0	0	1	3.48711834863765	0	0	55.0462295320422	0.176390731507301	0.719142184430523	0.370096526633397	0.0176524907414699	0.754057164758681	0.921932594846965	0.944733707419888	1	0.039400429412968	0.999931669548502
NDFIP1	0	0	0	0	1	0	0	0	112.572018952915	0.470420591191282	0.803134262334744	0.748179767152854	0.00875825760357532	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0394991339272232	0.999931669548502
C1orf35	0	0	0	0	1	0	0	0	94.6628341194968	0.352958736138707	0.80399490406994	0.631384422181094	0.0103876419047631	0.754057164758681	0.921932594846965	0.944733707419888	1	0.039528514936811	0.999931669548502
ZDBF2	0	12	1	0	0	4.63440874807029	4.08817924919059	4.08817924919059	0	0.00181354626853469	0.271569172922336	0.00659430393167138	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.039707924530587	0.999931669548502
A3GALT2	1	0	0	0	1	0	0	0	73.2873554473524	0.245339142230356	0.79410630210669	0.493866997630442	0.0133526000075893	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0397084495057801	0.999931669548502
ARL10	0	0	0	0	1	0	0	0	102.004033500193	0.401658186916631	0.810173703016094	0.684739193150068	0.00965160768034723	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0397808722643581	0.999931669548502
MS4A3	0	0	0	0	1	0	0	0	116.237154453708	0.508956385509183	0.800573235374984	0.779771099012547	0.00848585333956807	0.754215560770568	0.921932594846965	0.944733707419888	1	0.0398219712813905	0.999931669548502
PLAG1	0	4	1	0	0	6.66928936565536	21.4344840057782	21.4344840057782	0	0.00941332467665701	0.0437593558569355	0.00662160383947397	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0398449559245621	0.999931669548502
MAP3K4	0	3	2	0	1	1.60426426466846	7.86199438075468	7.86199438075468	15.5320001289914	0.52238881615328	0.0388490959992912	0.11338548646467	0.0584072135666206	0.755645897340336	0.921932594846965	0.944733707419888	1	0.0398496044160512	0.999931669548502
ZNF98	0	0	2	0	0	0	25.0278567496353	25.0278567496353	0	0.278009594423502	0.00367928013013563	0.00665463348233319	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0400105971961658	0.999931669548502
ABO	2	0	0	0	1	0	0	0	70.5960118857265	0.242870739611564	0.757457541871597	0.484114114069674	0.0138503631371328	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0402636484784823	0.999931669548502
GJD3	0	0	0	0	1	0	0	0	84.7152142628718	0.304452476831182	0.867883931333217	0.582836767833362	0.0115847706001045	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0404980835546215	0.999931669548502
KRT23	1	2	0	0	1	3.16044856728508	0	0	59.0803503724519	0.203238237655414	0.711792399427745	0.410245720866362	0.0164788788091053	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0405398572456934	0.999931669548502
TRH	0	0	0	0	1	0	0	0	102.843572870564	0.434542052104255	0.776910455120153	0.709442135772913	0.00957402788226916	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0406988229572264	0.999931669548502
DERL3	0	0	0	0	1	0	0	0	105.89401782859	0.446828252986741	0.822306621195897	0.731066243105982	0.009302344516375	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0407408066174227	0.999931669548502
COLEC12	0	6	0	0	0	7.0019446320363	0	0	0	0.00186016634395736	0.695410846225742	0.00686753195318091	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.041074368581201	0.999931669548502
CDH5	1	4	2	0	0	3.11877557420695	22.4013950945275	22.4013950945275	0	0.0941637143974112	0.00442200711670082	0.00689610446136657	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0412166274737745	0.999931669548502
CCDC107	1	0	0	0	1	0	0	0	87.9964373505182	0.350935623945884	0.762655153124385	0.620235256135568	0.0111605165131149	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0413461809540779	0.999931669548502
RHNO1	0	0	0	0	1	0	0	0	104.564804215679	0.461661191856435	0.78196906534703	0.73538153479459	0.00941880960428114	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0413674286177903	0.999931669548502
UNC5C	1	4	0	0	1	3.20977990620511	0	0	26.814365029557	0.0867767495586382	0.630341689748424	0.197061677931779	0.0351970368632297	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0414150004389422	0.999931669548502
TOGARAM1	1	7	0	0	1	2.86411471094876	0	0	14.0873665206016	0.0578159802594283	0.458103687192651	0.108745404410755	0.0637972079592501	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0414232821634737	0.999931669548502
COQ4	0	0	0	0	1	0	0	0	93.9510834870195	0.38338557698095	0.803041568786961	0.664373669011559	0.0104650168472639	0.754057164758681	0.921932594846965	0.944733707419888	1	0.041497969238716	0.999931669548502
CD40	0	1	0	0	1	2.93016269486603	0	0	89.8956410343423	0.383323917336148	0.758926876792068	0.648884634613331	0.0109288580811788	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0421866662413162	0.999931669548502
OVOL1	0	0	0	0	1	0	0	0	93.2499559983103	0.386477222209768	0.838393484841752	0.674079642504268	0.0105423723273697	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0422600445816217	0.999931669548502
DNAJB7	0	4	0	0	0	10.593504099578	0	0	0	0.00180714149055305	0.773988508766848	0.00719099064281015	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0426779997486545	0.999931669548502
SFTPA1	0	0	0	0	1	0	0	0	100.365414488141	0.456147488563288	0.814242586544335	0.737940868628679	0.00980670863629725	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0429037774613251	0.999931669548502
ARID2	2	0	2	0	0	0	7.8103183228714	7.8103183228714	0	0.034859692104291	0.0366950925022512	0.0072496242729152	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0429671139987551	0.999931669548502
ESX1	1	2	0	0	1	2.94253877572297	0	0	61.4029194288628	0.229376540419783	0.765431677710673	0.460625524694365	0.0158713756246412	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0432680643522565	0.999931669548502
CR1L	3	0	2	0	0	0	18.8364823229811	18.8364823229811	0	0.174425932362662	0.00595865238821525	0.00737742021163912	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.043595619921275	0.999931669548502
RRP15	0	3	1	0	0	8.10396597527325	23.2737063344195	23.2737063344195	0	0.012435427615142	0.0399076683393105	0.00738025638908946	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0436095431108082	0.999931669548502
SPHK1	2	0	0	0	1	0	0	0	53.05942294596	0.187972841464372	0.764488637224264	0.403871806099159	0.0182941744690944	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0436500122580562	0.999931669548502
PRNP	0	0	0	0	1	0	0	0	98.3897173525479	0.446532248760724	0.870510367818283	0.739105657466556	0.010000474966605	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0436642755163293	0.999931669548502
SBSN	0	5	0	0	0	8.1977748072275	0	0	0	0.0019063850901978	0.752455938746649	0.00741092607409866	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.043760035327969	0.999931669548502
WDR87	1	8	4	0	0	2.31340160714231	9.19851917042358	9.19851917042358	0	0.113219229269277	0.00266428815713171	0.00744148541396805	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0439098598541353	0.999931669548502
AQP11	0	1	0	0	1	2.75210619516001	0	0	91.8786331159822	0.408298003754727	0.852220583940295	0.696881166169163	0.0106970249334628	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0439738993348963	0.999931669548502
HEMGN	1	3	2	0	0	4.48324962295781	16.8940755968683	16.8940755968683	0	0.0562026203730522	0.00793382753116156	0.00745809566489442	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.043991242934118	0.999931669548502
MRM3	1	2	0	0	1	2.95613561039889	0	0	59.3610171200645	0.227608162177682	0.760120754370195	0.456940817890447	0.0164030068924	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0441729212769519	0.999931669548502
IFNAR2	0	2	0	0	1	3.41301719925477	0	0	48.4321476890449	0.183052937302794	0.709940498600502	0.378382406225046	0.0199862609587586	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0445016889016285	0.999931669548502
RPL5	0	0	0	0	1	0	0	0	83.8623765353932	0.380474747289633	0.75239616799701	0.649890828915324	0.0117003746520443	0.754057164758681	0.921932594846965	0.944733707419888	1	0.044704365811968	0.999931669548502
TMEM106B	0	0	0	0	1	0	0	0	90.876320754717	0.430358489931689	0.779606212937839	0.706166918227011	0.0108129633607028	0.754057164758681	0.921932594846965	0.944733707419888	1	0.044859409630072	0.999931669548502
YBX3	0	0	0	0	1	0	0	0	66.999968384845	0.282302445016395	0.712761613826225	0.527856278436982	0.014576411860378	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0451443369117562	0.999931669548502
GLOD4	0	0	0	0	1	0	0	0	83.5819003596895	0.388023601160217	0.751383259694461	0.657423315897241	0.0117388996693097	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0452571053313137	0.999931669548502
ZMIZ1	2	0	0	0	1	0	0	0	23.3998016924599	0.0792363605503943	0.615701058933902	0.193445405292271	0.0400075406022578	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0453633518276766	0.999931669548502
LRRC63	1	5	1	0	0	6.21528432518495	9.78668652074839	9.78668652074839	0	0.0051938585722362	0.103677567859689	0.00774949786774093	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0454130434656336	0.999931669548502
OR5D18	2	0	0	0	1	0	0	0	79.58913441894	0.343377629569426	0.862748132149361	0.629420096889579	0.0123161957028284	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0454255006406339	0.999931669548502
IGSF9B	1	0	0	0	1	0	0	0	17.3789904085864	0.0590389671178299	0.556591044826002	0.147575048611923	0.0527144537887159	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0455580133180421	0.999931669548502
PRPF40A	1	0	0	0	1	0	0	0	25.1165710628615	0.0994090703436574	0.472165541518799	0.208574962976814	0.0374350538748658	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0456972236769832	0.999931669548502
EZHIP	1	0	0	0	1	0	0	0	49.5852940625936	0.18767015696616	0.774172429969786	0.404997325620422	0.0195359555880773	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0462011797693259	0.999931669548502
SLC39A11	1	0	0	0	1	0	0	0	74.3779410938904	0.339069605932047	0.750775652815844	0.604134853214926	0.013160937269643	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0463896798442203	0.999931669548502
CRELD2	0	0	0	0	1	0	0	0	70.5960118857265	0.315317514394883	0.747371484870588	0.576130913494763	0.0138503631371328	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0465280943152603	0.999931669548502
HNRNPDL	1	0	0	0	1	0	0	0	59.3610171200645	0.259243831131414	0.686277997881636	0.491492800007465	0.0164030068924	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0469254318633525	0.999931669548502
PARP16	0	0	0	0	1	0	0	0	77.1326796529234	0.363186694080044	0.770168944340295	0.635734966851601	0.0127004574710745	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0469840658659742	0.999931669548502
CLPP	0	1	0	0	1	2.42732087639984	0	0	89.8956410343423	0.4623940543226	0.812040780234676	0.739945713836369	0.0109288580811788	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0470449537960112	0.999931669548502
FER1L6	0	6	1	0	1	3.08251496065703	4.25647956799867	4.25647956799867	13.4504780449662	0.0615852995174424	0.260227695526147	0.121929436143873	0.066503357299573	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0471506936075833	0.999931669548502
MYBBP1A	1	0	0	0	1	0	0	0	18.8043553104192	0.068360846390976	0.563805185806161	0.1669713079646	0.0490273911650193	0.754057164758681	0.921932594846965	0.944733707419888	1	0.047523236079388	0.999931669548502
LRIG1	2	5	0	0	1	2.77361701987495	0	0	22.8436820909938	0.0938145549570693	0.582457917587255	0.200327552872891	0.0409184412134292	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0475757199126758	0.999931669548502
TERF2	1	0	0	0	1	0	0	0	46.0239193509156	0.191188595232622	0.667114768677499	0.392485422100719	0.0209970199713887	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0477866557083655	0.999931669548502
PATL2	0	2	0	0	1	3.22311704350921	0	0	45.9393165579911	0.201876350343482	0.658453963321051	0.392774913927825	0.0210343911049254	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0478862343313877	0.999931669548502
FSIP2	3	12	6	0	0	1.32571684512991	6.15570915357653	6.15570915357653	0	0.527867953644933	0.00211095240458425	0.00826316926134585	1	0.75580179365256	0.921932594846965	0.944733707419888	1	0.0478928917289074	0.999931669548502
MCIDAS	0	0	0	0	1	0	0	0	64.7434927656663	0.285080966042129	0.79915340210918	0.548541897203366	0.01507219222212	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0479147583360995	0.999931669548502
C11orf54	0	0	0	0	1	0	0	0	79.085405720086	0.398409559797074	0.753405018477077	0.668462141106477	0.0123930865545303	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0479942506087796	0.999931669548502
NAAA	0	0	0	0	1	0	0	0	69.4194116876311	0.322085221733298	0.767415366792021	0.588490319438504	0.0140798276110104	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0480015990977554	0.999931669548502
KLHL23	0	2	0	0	1	3.31509517459471	0	0	44.7065978668107	0.192427397792807	0.691080216554715	0.387972401482942	0.0215944078722393	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0484429835966969	0.999931669548502
EVL	1	0	0	0	1	0	0	0	59.6443632638357	0.275907704135847	0.688738763265199	0.513376310717892	0.0163271161396922	0.754057164758681	0.921932594846965	0.944733707419888	1	0.048461730434321	0.999931669548502
KLF17	1	0	0	0	1	0	0	0	64.0794569424287	0.295727946974081	0.745834932279596	0.551597283135853	0.015224578636906	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0485376558646558	0.999931669548502
RELN	5	13	0	0	1	2.07082168509551	0	0	7.2207420420535	0.0793048302217231	0.221741883843714	0.0742189886717565	0.113763277560529	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0487552954919217	0.999931669548502
HS2ST1	0	0	0	0	1	0	0	0	70.0027680883674	0.345142587656204	0.727853529329956	0.605678762866485	0.013965116851617	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0488267988939307	0.999931669548502
PTPRN2	1	0	0	0	1	0	0	0	24.597429338137	0.095046250584965	0.601312716333708	0.222358065196552	0.038177356189941	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0489731111173184	0.999931669548502
MC5R	0	0	0	0	1	0	0	0	76.6594730292858	0.374407577943097	0.870047808040091	0.665687534666788	0.012777252118336	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0490523286215343	0.999931669548502
TAS2R3	0	1	0	0	1	2.84885409622527	0	0	78.8359249449437	0.394370463978042	0.871584963203358	0.685745885829592	0.0124315247584335	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0491438790660911	0.999931669548502
STRN3	0	3	0	0	1	3.18534395664947	0	0	31.3170278290065	0.1352875496128	0.629170145345791	0.280841054378232	0.0303805737792861	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0491783987090121	0.999931669548502
MACROH2A2	0	0	0	0	1	0	0	0	66.999968384845	0.318987624023169	0.772657143339874	0.585883241523451	0.014576411860378	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0492163303507841	0.999931669548502
NUDCD3	0	0	0	0	1	0	0	0	69.0358790263734	0.34753709507303	0.741793030716077	0.611851440797604	0.0141562776000771	0.754057164758681	0.921932594846965	0.944733707419888	1	0.049793999123546	0.999931669548502
NMNAT3	0	0	0	0	1	0	0	0	72.0201389266489	0.362961770859171	0.783099419464187	0.638316282739324	0.0135824372697146	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0498336577081536	0.999931669548502
PHKG1	0	0	0	0	1	0	0	0	64.4097634215134	0.314690882987334	0.73812102754505	0.573281961412465	0.0151483949129929	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0499020661899399	0.999931669548502
